ID,name,class,sub_class,posneg,ND1,ND2,ND3,ND4,ND5,ND6,HFD1,HFD2,HFD3,HFD4,HFD5,HFD6,PSP1,PSP2,PSP3,PSP4,PSP5
M188T280,Pantothenol,Carboximidic acids and derivatives,Alcohols and polyols,pos,64843844.23,27566434.96,32746924.86,20052847.92,51932747.55,80466683.63,72820054.37,64082424.44,42559062.19,29088154.84,60314791.01,85811821.62,63381643.59,49079889.02,76561275.08,75458658.65,37356976.83
M129T112,(S)-Piperidine-2-carboxamide,,,pos,48571547.53,29960694.59,39336437.03,20436692.93,28038363.51,53931560.95,36216738.35,46749950.95,27928740.92,22793962.42,58831599.67,36243810.91,38437311.05,33224823.26,58110074.59,30492691.83,43259607.62
M128T86,D-1-Piperideine-2-carboxylic acid,Azacyclic compounds,Carbonyl compounds,pos,224730863.9,342620483,307467132.1,278928907.5,248120884.4,643649476.9,232043614.2,438368646.7,167378940.6,159388938.6,718686537.2,540344471.3,286743701.9,102293099.8,617416063.9,212287896.9,76169933.18
M152T268,Guanine,Azacyclic compounds,Imidazoles,pos,10173723.33,12143625.47,11670123.09,5553034.095,16360095.12,13595229.65,50897051.93,14537360.9,105960858.8,10759884.42,13186866.51,10337590.15,5835247.097,17906137.9,19763339.59,18426669.78,50995942.25
M238T87,N-Acetyl-D-glucosaminate,Carboxylic acids and derivatives,Alcohols and polyols,pos,470139442.6,224037631.2,320238672.7,150563582.9,411839371.3,1686549681,151252344.4,213682126.5,96027636.46,26228102.52,192734895.9,394149693.7,317519185.5,235673571.9,30243344.36,164886056,32409070.02
M133T275,Indoxyl,Azacyclic compounds,Hydroxyindoles,pos,10932730.35,66164130.56,10599498.32,47399980.62,9109876.532,62252623.53,41551477.37,50806178.29,44456480.98,29349506.9,10897697.04,79173506.63,27767972.01,19624860.57,48365090.53,35870460.4,63902141.86
M481T943,6'-Oxogentamicin X2,,,pos,4570352.111,36456124.74,10636540.81,3676965.294,537636.6616,4164419.135,520891.5327,30226408.93,3657020.38,4394338.405,2074532.173,140456657,2143385.069,7002589.773,16352392.74,40811048.53,6775309.1
M118T306,5-Hydroxypentanoic acid,Carboxylic acids and derivatives,Alcohols and polyols,pos,503781238.9,299481787,317591980.9,235037767.1,339027424.2,572789868.5,451839861.9,482152479.4,316587911.8,249980296.8,481960727.9,630847284.2,435604785.7,343027306.9,609506731.8,624217209.3,396096265.1
M322T222,gamma-L-Glutamyl-L-cysteinyl-beta-alanine,Carboxylic acids and derivatives,Alkylthiols,pos,69369183.72,156512452.1,71487873.15,170516720.2,201780185.5,204941141,63944243.02,67148179.64,179108462.8,74181049.33,325172022.3,233794297.6,56222252.86,91957561.16,349307876,82119459.72,172512790.5
M170T279,2-Keto-6-acetamidocaproate,Carboxylic acids and derivatives,Alpha-keto acids and derivatives,pos,20536643.89,109701937.3,22354065.5,28519315.16,201409133.4,134614659.7,20281694.14,19586610.43,88296273.05,65945692.29,47914644.26,255313074.6,150997460.7,48812144.3,13632342.8,46143904.72,164629883.1
M305T329,D-Pantothenoyl-L-cysteine,Carboxylic acids and derivatives,Alcohols and polyols,pos,8414136.647,75266103.67,90039789.71,53137868.45,156549503,6326096.024,242468622.9,11521821.11,91402524.36,62490970.1,5227862.938,4812379.768,135021982.1,61657714.76,2060649.54,3878457.382,50911470.95
M167T793,D-Phenyllactic acid,Benzene and substituted derivatives,Alcohols and polyols,pos,118643117.3,45584208.71,75701177.06,21752370.48,52670109.48,166033647.9,96594264.71,102303017.3,73395783.84,38754385.98,92527507.12,130685957.9,108381499.5,77070542.3,70947311.91,131852034.1,78723938.25
M165T207_1,Enol-phenylpyruvate,Benzene and substituted derivatives,Carbonyl compounds,pos,6391156178,575623313.9,2894626438,2395680936,721382302.7,3979570924,7827542567,1497556851,658940898.3,557020764.5,15096626921,15763733562,689014474.5,5190038626,2842083833,5729194462,675177841
M292T93,N-Acetylneuraminate,Carboxylic acids and derivatives,Alcohols and polyols,pos,304458469,148871459.5,336337664.3,303684130.9,194896865.2,149336955.9,302605849.7,164042427.3,358319194.4,584007313.3,1171839581,91070852.78,388908063.4,146904945.2,663693099.9,254118500.9,289039879.2
M146T104,(S)-5-Amino-3-oxohexanoate,Carboxylic acids and derivatives,Amines,pos,497838000.4,592764515.6,997362369.1,553045165.2,352439697.4,868372726.3,463722382.8,314887623,375900357.1,263828800.1,455350096.4,402228826.7,419722745.8,157145766.8,1376798121,858759620.6,334087067
M352T120,N-Acetyl-4-O-acetylneuraminic acid,Carboxylic acids and derivatives,Alcohols and polyols,pos,98280544.07,43093944.67,61314825.05,29830859.89,31165669.21,122597903.5,130016707,156042981,5209869.831,21479061.93,146170947.4,145520539.9,61247214.32,66810994.58,119947602.4,154979475.9,29707276.46
M131T978,Itaconic acid,Carboxylic acids and derivatives,Carbonyl compounds,pos,16252196.01,15120656.62,16373148.39,3599981.858,16449621.11,22852860.68,17721965.35,22932938.87,5452917.735,14325929,11872367.04,14630644.15,17501664.4,7356760.826,23481668.75,25560515.64,13745723.02
M207T578,"trans,trans-1,4-Diphenyl-1,3-butadiene",Aromatic hydrocarbons,Olefins,pos,12260095,10088155.58,8095680.187,2677626.645,8223675.066,23383211.44,17770549.45,5542527.749,10544414.16,2960099.271,16685080.02,12112286.33,15337842.65,8497932.178,19555376,17507475.08,8827021.088
M376T912,Adrenoyl ethanolamide,Carboxylic acids and derivatives,Alcohols and polyols,pos,15332321.9,344183.7751,714635.1946,247769.9079,515025.3716,8720902.996,657698.902,896591.459,9208235.873,2419137.566,18227059.5,21214546.45,1317941.318,9376369.818,43532705.18,27333408.72,1110317.492
M231T602,Isodehydrocostus lactone,Carboxylic acids and derivatives,Carbonyl compounds,pos,3210737.749,5773972.996,3650867.386,5307903.311,4515136.358,43407114.22,10025970.46,22633376.41,5229156.461,2145677.732,40821956.24,5244752.437,9442460.344,9750261.423,3413273.445,2042259.749,5020185.969
M264T64,"2-Ethyl-5-methyl-3,3-diphenyl-1-pyrroline",Azacyclic compounds,Diphenylmethanes,pos,2128034.46,766716.9869,920764.3846,54055.14096,1412992.322,1472365.664,167891.2893,2354646.762,112250.228,631757.2459,3453421.619,209704.6103,1723627.32,157565.1963,1309385.072,2929500.571,1949239.067
M286T844,Abietinal,Organic oxides,Carbonyl compounds,pos,10560876.73,8589994.036,8638123.328,5207920.62,11532285.24,9219975.807,5945169.715,6711591.575,6744461.171,9205484.435,10101623.22,8106763.966,7523200.923,7255347.826,8722628.095,6693354.681,5713074.989
M530T790,L-Oleandrosyl-oleandolide,Carboxylic acids and derivatives,Alcohols and polyols,pos,53460817.68,34149383.66,24507593.07,17125875.06,34078897,41790781.94,42025768.63,57077286.83,30393406.66,21404313.47,34143680.85,51656460.15,39953269.68,34148754.69,30352618.73,38331766.66,27740217.37
M272T884,Cembrene,Prenol lipids,Branched unsaturated hydrocarbons,pos,8193172.017,17693126.54,8564127.766,2407282.799,1371054.559,12638536.65,477523.2334,19251880.9,3200367.805,6020083.174,2070048.643,401695.566,1519230.326,2433371.907,433438.0915,180330.4597,1056771.157
M102T875,Triethylamine,Amines,Tertiary amines,pos,75910078.59,64316839.9,63473601.61,58387810.88,64991475.55,106122682,99488826.64,86533628.75,69206584.21,50796237.26,75705511.79,91680618.5,74050179.32,54666975.41,86588199.31,92539954.65,59699742.94
M102T964,Succinic acid semialdehyde,Fatty Acyls,Fatty acids and conjugates,pos,98454949.41,140251113.9,74684220.45,40485425.94,99621811.58,129751563.6,66457339.65,87434023.91,95805843.33,99654630.53,36145031.39,120198292.5,79761708.95,65205872.24,55468712.68,213611198.6,97904457.6
M102T87,1-Aminocyclopropanecarboxylic acid,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",pos,490066479.1,562545552.1,903197738.8,151414857.6,744604977.2,51328064.19,73641946.2,484129472.5,513732464.8,759412992.3,59486380.87,108418068.5,206644311.3,116213146.3,20589645.05,376302234.6,518169225
M102T32,Isovaleric acid,Fatty Acyls,Fatty acids and conjugates,pos,458993870.6,489565861.5,500454224.7,690146086.1,163273574.6,1004983095,426522299,552553392.7,170638273.6,175294668.7,405570756.1,429727257,104042730.6,281321252.6,464915306.1,304387470.4,105916161.1
M121T306_1,Phenylacetaldehyde,Benzene and substituted derivatives,Phenylacetaldehydes,pos,64619121.78,67809444.23,64399229.99,61846825.11,75150814.27,47246169.31,45767876.68,71429044.15,62911794.82,64733210.79,51918713.32,52906928.43,69194295.85,62698033.86,44077543.37,61812200.86,66908241.69
M104T88,gamma-Aminobutyric acid,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",pos,735782053.6,682696756.1,736472742.3,605770368.1,802630704,807702655.7,751153237.6,774006733.8,686093260.7,705334306.3,750303651.9,743282718.5,709356631,653386469.3,742667803,547996197.1,765302278.1
M104T85_1,Dimethylglycine,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",pos,5726636859,9380816081,19055694204,17482184680,2217649669,16810227617,15146560452,3640377441,11887212517,5171995939,32943623972,10789938951,4147246931,12699234460,19784042630,8252184974,1284730477
M106T85_1,L-Serine,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",pos,152655065.9,810900799.1,300615832.1,63631699.63,435796404.4,903650019.7,242686490.6,122228054.6,625365567.8,522358660.1,215762506.3,856114300.3,134237589,130762572.3,219060081.9,170476008.5,101535697.8
M109T566,m-Cresol,Phenols,Cresols,pos,41964770.69,41605689.7,43016622.92,54322766.29,12556662.59,80262076.94,35602697.24,45436893.58,10458785.57,17294286.29,29477661.44,32760095.67,7087314.455,19433621.61,35214474.49,25305937.13,7289288.868
M110T173,Hydroquinone,Phenols,Benzenediols,pos,18818590.04,16955737.02,17834941.31,18597832.32,21212380.9,14855220.68,15592972.02,23566878.23,19330251.51,20844182.65,14815140.63,20933276.05,22685485.36,18946598.2,8617794.067,12662137.78,24765394.69
M131T35,Heptanoic acid,Fatty Acyls,Fatty acids and conjugates,pos,36551095.75,23354619.17,37826377.27,8587297.118,19711780.48,20916237.9,31233152.31,50444877.48,12238903,21680064.3,47584487.05,53975488.25,44951446.1,67599549.48,67992133.04,69944107.55,57262761.13
M117T360,Indole,Indoles and derivatives,Indoles,pos,35618708.26,55077932.41,38735309.93,114666179.8,58706438.19,118841356.7,126728670.1,48441035.52,49404837.85,52465024.08,132545921.1,69795558.77,179505864.9,34168589.3,128132167.1,13819980.14,197818988.3
M118T106,Betaine,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",pos,44125064709,5354048659,8316649647,8445716419,49971548118,8307296104,83792389976,88563035659,6015446811,11655326885,4546629371,4059386974,44156463202,7019182400,3984506932,4447396689,5189889068
M120T87_2,L-Allothreonine,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",pos,4359608368,2800780778,2859463828,723062883.5,3089099762,2021658621,5173645389,4070679275,3461332077,856703850,3025977824,2276814633,4730732125,3038311399,4817576773,1817172148,3181514359
M124T908,Picolinic acid,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,pos,1214240302,501291212.1,673278330,292900930.7,537773098.3,1228654704,1090886709,1038293630,492512078.5,350188746.2,1546028095,1504600449,794479269.3,1114242651,2281112946,1218659802,862118908
M126T72_1,Ciliatine,Organic phosphonic acids and derivatives,Organic phosphonic acids,pos,133379308.9,143989835.3,137036770.7,160049950.2,155551572.5,94682744.12,137956779.9,140689467.5,155095547.6,147168445.4,134897299.3,92085903.92,124099874.9,131590953.1,85253487.5,87926131.75,124101954.9
M130T112,Pipecolic acid,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",pos,103113424.6,1528481021,52068653.83,29947506.2,22874089.02,608095236.7,368494747.5,95083762.43,2663360383,17892168.89,649623425.8,457521973.1,76797549.43,157724922.9,1125951066,294162156.6,18775537.28
M132T94_2,Creatine,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",pos,20564463399,12088554602,12595091517,8597954667,13102169486,26493445989,21385361474,17859183819,13179838018,8842115230,33420103593,38422199555,17518794826,12644260218,25714121910,24306760035,11815456721
M132T176,cis-4-Hydroxy-D-proline,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",pos,284711943.5,230015274,196417045.5,158063412.4,242759481.1,33362066985,391971494.8,355647735.2,248170850.1,180115925,357606758.8,33512728833,338073494.1,214582630.6,446676832.3,31559372098,272056156.6
M133T85,L-Asparagine,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",pos,230466532.7,205126150.6,400345561.2,313278337.9,395077396.7,239479667.3,126329034.1,198715008.8,146848664.7,134769871.3,350868929,144485095.8,113232113.9,308148837.5,243977243.1,136997848.9,222864771.3
M155T980,Gentisic acid,Benzene and substituted derivatives,Benzoic acids and derivatives,pos,8906401233,8745147637,9516715358,8609923159,8586268136,8017513859,9016472171,8941438904,9244790856,10320712570,7901065436,8479683172,8847999106,9720096320,7990882801,9204541074,9601215047
M140T329,Phosphonoacetate,Organic phosphonic acids and derivatives,Organic phosphonic acids,pos,52666544.26,19768919.7,67184633.23,17816779.39,33957838.34,36678562.14,19504305.41,13352928.48,58338183.73,26316075.88,22647613.52,82419734.85,34190675.81,11026211.1,45903916.23,68024767.42,61635482.49
M158T730,Pelargonic acid,Fatty Acyls,Fatty acids and conjugates,pos,478574113.2,440133329.8,589645481.3,625279764.8,94895137.7,1049051110,114380262.9,583398139.2,313036595.6,62730203.93,113575137.5,100625773.6,71968854.6,96618013.95,114964324.6,230102287.3,211876434.6
M160T140,Pimelic acid,Fatty Acyls,Fatty acids and conjugates,pos,57352510.54,98370479.12,208868403.8,112610750.4,136494900.1,53834765.89,74942806.04,76093880.88,148063908,122840233.3,27654513.23,52099987.73,20561647.85,43008319.08,38277632.36,46322670.47,62893972.53
M147T130,4-Hydroxycinnamic acid,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,pos,177545718.5,122071118.6,145648779.9,118484255.3,123482823.7,852214811.4,983004548,211875700.1,161883666.3,162846920.5,1753375459,283082177,182437700.9,182957516.8,1614309578,289071476,441671888
M155T314,"2,3-Butanediol",Organooxygen compounds,Alcohols and polyols,pos,105241498.3,110811074.9,105423858.3,95704408.15,113816669.2,336176950.1,93338949.67,197446364.4,252618759,62165291.27,78641170.32,263964605.9,93153192.41,89387942.29,94703257.65,96381802.67,101178898.4
M157T62,3-Indoleacetonitrile,Indoles and derivatives,Indoles,pos,12010383.53,12494267.98,11348584.8,12875179.02,11401835.89,13054676.02,11860774.61,12739493.62,12459890.16,13610945.8,13354832.87,12420760.53,12226245.44,13989496.59,14146789.77,13318704.26,13145419.47
M181T940,D-Fructose,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,pos,205652987.5,73175792.71,74343476.78,81574585.65,278595008.7,65010634.42,308728923.2,183470645.7,84780638.68,92824432.31,289532315.3,330985500.4,325744862.4,337867771.2,72426715.92,315489623.5,338397109.2
M164T72_2,L-Fucose,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,pos,80107541.45,60059104.81,59689067.31,46949139.25,71605645.58,85498914.7,84939643.07,71856416.47,72784960.46,46611010.55,79283862.05,97315573.02,97526793.17,88549153.29,88023100.61,93647042.02,77908202.01
M172T35,3-Dehydroshikimate,,,pos,32316008.1,163943958.6,79715818.09,52369853.6,62903579.93,109955813.9,266202462.2,233965287.2,232154734.7,229938957.7,97699747.03,198250251.7,131990981.9,119444333.8,22558892.86,115721026.1,104615225.1
M177T43,Methyl beta-D-galactoside,,,pos,44461597.92,79959633.63,67973366.44,68972679.03,161195651.9,310423537.8,235337064.1,354558897,160101143.1,143973449.2,245819010.9,39222868.6,158018650.6,217588212.2,48529068.14,295376752.6,129919012
M183T981,Homovanillic acid,Phenols,Methoxyphenols,pos,14429846225,11232525271,13234293310,11125476497,6036627760,14187042937,11669563370,11951648789,6580765294,6832328030,4896119370,8627186024,3703800989,9182395837,5477593064,3142343939,3547547882
M183T32_2,Mannitol,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,pos,494538501.9,640221067.8,684406306.5,871582486.2,1039961924,129349558.3,143935504.5,93950782.53,808757327.4,613876488.1,77826396.25,434798085.5,91651482.8,634117942.4,22296519.94,74737147.03,73888247.35
M183T443_2,Epinephrine,Phenols,Benzenediols,pos,617871.1358,5304989.458,389100.8214,110329.0565,8884922.623,7624808.787,3655957.779,3679617.64,2828138.585,302669.0151,5922889.651,6951169.414,620122.072,4288536.949,10718545.57,9270796.605,458313.1002
M205T359,L-Tryptophan,Indoles and derivatives,Indolyl carboxylic acids and derivatives,pos,18756672813,7200687741,7839157676,11733460131,10977723815,16027181080,11449743715,8087863743,15058879780,12810605292,13841411462,20060118041,12124223805,10229551211,27473344844,28250917775,14839124826
M214T969,Dethiobiotin,Fatty Acyls,Fatty acids and conjugates,pos,251942443.4,214738652.1,250366269,163515166.4,174600827.7,114203720.6,166980220.5,225720102.1,219840090.1,153965676.8,271865110.2,251784546.6,216883920.9,163673092,250263829.6,155050120.6,180990797.4
M200T369,Dodecanoic acid,Fatty Acyls,Fatty acids and conjugates,pos,223095392.7,133002383.9,150990932.2,32803394.14,123614970.6,213769369.4,195796372.4,250836679,67114543.71,39875365.58,237149620.3,231422331.8,142344978.8,133427988.8,235094529.4,176324116.2,121133025.6
M203T66,Spermine,Organonitrogen compounds,Amines,pos,2877760.489,12350859.58,19919251.96,8648581.941,3409062.23,20419295.83,15065735.06,13659163.87,14000511.52,12873438.38,28653554.45,24584703.88,10958541.01,17443194.06,29330547.75,5643086.545,13856879.27
M208T492,N-Acetyl-L-phenylalanine,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",pos,64037778.43,82419496.59,107557098.4,95914525.34,30860541.22,128720212.6,99270923.91,331501604.5,109589156,91670591.75,431005399,116203827.8,241825954.3,200003288.6,160567627.6,38056519.88,32483674.77
M224T987,Methyl jasmonate,Fatty Acyls,Lineolic acids and derivatives,pos,110147040.2,93412558.36,68457086.17,107442202.5,74905122.22,34832066.41,113003637,123516806.7,96155644.17,48055964.75,34280910.33,24344572.64,173092005.5,87764467.47,41965611.23,33025795.35,22407786.72
M228T713,Deoxyuridine,Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides,pos,640762904.3,1059295813,512084526.1,696248213.9,592152805.3,1728943059,872970088.9,1056831958,765159115.6,666366731.2,1997546694,688339977.6,461162494.8,596348309.1,1220148101,1113795915,634248432.3
M225T146,Hydroxykynurenine,Organooxygen compounds,Carbonyl compounds,pos,9101685.727,5385384.86,10856556.44,3413224.294,9153882.116,22905873.14,29921574.11,10110107.82,4320355.864,4231442.61,22912708.33,20665137.88,15208930.63,4090718.45,24838116.13,10312285.87,3562326.809
M243T320_1,Equol,Isoflavonoids,Isoflavans,pos,41251827.72,16628823.26,20824371.4,26543705.84,19155773.24,48457902.48,34835324.96,64720668.01,25013246.2,26577238.71,39722304.71,35623591.91,26698127.18,36422343.11,31265068.39,27454307.83,18111604.17
M226T844,Porphobilinogen,Organonitrogen compounds,Amines,pos,26453130.1,180248692.7,85785310.04,53107935.13,27594534.14,34446303.85,145023209.6,35051490.96,92055920.22,56923363.34,29447225.06,79863125.74,63499696.67,29096417.02,16612527.6,25249776.75,31879019.14
M272T409,17a-Estradiol,Steroids and steroid derivatives,Estrane steroids,pos,3968253.546,2015690.157,3246155.36,1175129.286,627982.4646,5686936.556,1933604.734,5074647.313,2913156.319,1348561.821,2831198.578,5820071.796,2911478.629,3587742.364,4649219.592,1742559.172,1937805.29
M278T411_2,Gamma-Linolenic acid,Fatty Acyls,Lineolic acids and derivatives,pos,14774417.68,10951017.7,13258686.47,8281549.523,15935969.68,15456778.68,11762820.55,12265938.08,12460015.81,16775666.61,15374507.27,15226291.26,15497167.5,16254739.94,15059749.26,12016045.77,14087568.12
M282T145,1-Methyladenosine,Purine nucleosides,,pos,7379069.284,22249041.88,20952599.94,4314597.621,20694777.7,48466129.33,47876192.14,31864296.92,26648122.78,7911723.424,31187747.27,38103405.19,7509858.85,20575506.01,33412147.32,36147247.34,19096322.23
M324T101,CMP,Pyrimidine nucleotides,Pyrimidine ribonucleotides,pos,182676915.9,115063583,159513902.8,15283825.07,78662713.53,86938997.05,65370605.32,296935097.8,2340613.654,46763449.22,30444885.44,255023775.4,137486314.6,107742259.7,7515270.716,5281186.909,11958348.6
M306T987,"8,11,14-Eicosatrienoic acid",Fatty Acyls,Fatty acids and conjugates,pos,2175842.405,63672.71254,561455.6255,298787.2637,130427.3343,236345.1934,169890.5252,70663.90942,798089.7431,343635.7896,1559331.753,692422.231,869575.5408,72949.12753,2836379.679,1603404.52,69802.50795
M336T909,12-Keto-tetrahydro-leukotriene B4,Fatty Acyls,Eicosanoids,pos,32321164.39,3701865.474,3619938.81,1197151.794,2824281.765,54228514.41,6462198.537,5323904.935,23518307.13,18804181.49,20669385.5,9569491.484,5535301.709,4512962.393,47407701.48,114815778.8,3237745.787
M338T725,Erucic acid,Fatty Acyls,Fatty acids and conjugates,pos,1771079.508,465743237.7,1509749.537,506982873.6,482645386.5,324864451.8,222800069.3,237257875.4,620458235.9,435115868.7,119965376.3,447969111.2,1757113.922,277972454.5,682557653.7,391201237.1,523700167.5
M377T409_2,Riboflavin,Pteridines and derivatives,Alloxazines and isoalloxazines,pos,814827076.2,525814768.3,833467912.8,312835230.2,670860151.8,1017439726,518222082.7,392965223.6,186025375.1,337011408.6,1258003612,815676289.9,332639688.6,541124587.6,1091166041,1031311559,359783524.5
M360T420,Rosmarinic acid,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,pos,21327539.72,14625942.62,9143264.925,2595484.57,15198465.21,3710395.174,3741930.961,15806862.71,10372790.99,4059070.592,4349691.953,2485337.143,2839201.664,2872540.003,2891865.544,1556237.197,6952832.694
M361T845,Aldosterone,Steroids and steroid derivatives,Hydroxysteroids,pos,9312540.208,7691947.398,7557368.32,7755056.328,9773034.158,21560222.17,19453359.55,13802591.82,11063318.28,5923208.427,12010536.33,22744521.84,7054962.698,10128111.62,17035389.76,14524757.21,6760492.89
M362T700,Thyrotropin releasing hormone,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",pos,109781560.7,70640395.33,375799381.7,18476029.43,161069100.1,17535788.09,22199876.7,112392917.8,7159680.614,4182813.311,11758163.43,4959247.158,10116602.17,14761003.43,16381317.87,11978261.15,62655574.1
M369T820,Cholesterol,Steroids and steroid derivatives,Cholestane steroids,pos,4423894.463,3156293.262,4103613.926,2993230.998,4590242.364,6290697.951,9787727.207,3551432.831,4850881.298,6006020.271,10551852.32,4267130.142,5618620.196,2558121.219,8738876.888,5584427.109,7994597.981
M415T770,Sodium deoxycholate,,,pos,184869213.4,199081338.1,198562858.9,85845460.65,139050491.5,317770629.3,129185822.7,175739781.8,3272318.472,2255010.54,107529637.1,309861463.2,145774769.8,153175032.7,128385785,178110349.2,120587004.2
M426T773,Lanosterin,Prenol lipids,Triterpenoids,pos,3604604.273,1233112.299,2229551.95,2132531.504,2702124.495,5899733.596,3027182.729,5730596.936,3604582.731,1980792.975,6628171.702,6996267.446,3497141.305,3952450.708,7847707.739,4851926.111,2934722.484
